Date,Open,High,Low,Close,Adj Close,Volume
1993-02-25,3.4375,3.59375,3.4375,3.5,0.9503886103630066,26388800
1993-02-26,3.546875,3.5625,3.5,3.546875,0.9631170034408569,2868000
1993-03-01,3.546875,3.578125,3.53125,3.5625,0.9673601388931274,1756800
1993-03-02,3.5625,3.578125,3.515625,3.515625,0.9546318054199219,746400
1993-03-03,3.515625,3.546875,3.5,3.53125,0.958873987197876,880800
1993-03-04,3.53125,3.609375,3.515625,3.609375,0.9800887703895569,636000
1993-03-05,3.625,3.703125,3.625,3.65625,0.9928173422813416,487200
1993-03-08,3.65625,3.75,3.65625,3.75,1.0182746648788452,440800
1993-03-09,3.75,3.859375,3.71875,3.84375,1.0437310934066772,552000
1993-03-10,3.90625,4.046875,3.90625,4.03125,1.0946444272994995,1170400
1993-03-11,4.015625,4.109375,4.0,4.09375,1.1116150617599487,399200
1993-03-12,4.0625,4.125,4.015625,4.109375,1.1158583164215088,238400
1993-03-15,4.109375,4.125,4.03125,4.046875,1.0988868474960327,293600
1993-03-16,4.03125,4.03125,3.78125,3.90625,1.0607020854949951,689600
1993-03-17,3.890625,4.0625,3.890625,4.03125,1.0946444272994995,278400
1993-03-18,4.03125,4.046875,3.9375,3.984375,1.081916093826294,200800
1993-03-19,3.953125,3.96875,3.90625,3.953125,1.073430061340332,146400
1993-03-22,3.9375,3.953125,3.921875,3.953125,1.0788886547088623,114400
1993-03-23,3.953125,4.0,3.9375,3.984375,1.087417721748352,84000
1993-03-24,3.96875,4.0,3.96875,3.96875,1.0831531286239624,96800
1993-03-25,3.984375,4.0625,3.96875,4.0625,1.1087387800216675,262400
1993-03-26,4.078125,4.34375,4.078125,4.21875,1.1513831615447998,852000
1993-03-29,4.25,4.296875,4.234375,4.296875,1.1727055311203003,261600
1993-03-30,4.34375,4.453125,4.34375,4.4375,1.211084246635437,427200
1993-03-31,4.4375,4.59375,4.4375,4.5625,1.2451996803283691,279200
1993-04-01,4.59375,4.59375,4.4375,4.484375,1.2238779067993164,272000
1993-04-02,4.453125,4.5,4.40625,4.4375,1.211084246635437,125600
1993-04-05,4.421875,4.4375,4.421875,4.421875,1.2068206071853638,51200
1993-04-06,4.453125,4.5625,4.453125,4.515625,1.232406735420227,522400
1993-04-07,4.515625,4.546875,4.5,4.546875,1.2409347295761108,285600
1993-04-08,4.5625,4.625,4.5625,4.625,1.2622573375701904,347200
1993-04-12,4.65625,4.703125,4.625,4.65625,1.270786166191101,48800
1993-04-13,4.640625,4.6875,4.578125,4.578125,1.2494640350341797,105600
1993-04-14,4.609375,4.65625,4.5,4.53125,1.2366706132888794,110400
1993-04-15,4.53125,4.5625,4.53125,4.546875,1.2409347295761108,125600
1993-04-16,4.59375,4.59375,4.5625,4.5625,1.2451996803283691,54400
1993-04-19,4.5625,4.5625,4.515625,4.546875,1.2409347295761108,64800
1993-04-20,4.53125,4.53125,4.515625,4.515625,1.232406735420227,100000
1993-04-21,4.546875,4.546875,4.484375,4.515625,1.232406735420227,52800
1993-04-22,4.515625,4.546875,4.515625,4.546875,1.2409347295761108,31200
1993-04-23,4.515625,4.515625,4.46875,4.46875,1.2196135520935059,248000
1993-04-26,4.484375,4.484375,4.1875,4.1875,1.1428545713424683,175200
1993-04-27,4.1875,4.1875,4.09375,4.125,1.1257970333099365,195200
1993-04-28,4.109375,4.21875,4.09375,4.21875,1.1513831615447998,504800
1993-04-29,4.25,4.265625,4.234375,4.265625,1.1641768217086792,738400
1993-04-30,4.25,4.265625,4.21875,4.234375,1.1556475162506104,23200
1993-05-03,4.203125,4.21875,4.15625,4.21875,1.1513831615447998,58400
1993-05-04,4.234375,4.3125,4.203125,4.3125,1.1769697666168213,256800
1993-05-05,4.328125,4.359375,4.328125,4.359375,1.1897637844085693,56800
1993-05-06,4.375,4.4375,4.359375,4.4375,1.211084246635437,324000
1993-05-07,4.453125,4.5,4.453125,4.5,1.2281423807144165,37600
1993-05-10,4.484375,4.53125,4.484375,4.484375,1.2238779067993164,64000
1993-05-11,4.5,4.5,4.4375,4.4375,1.211084246635437,32800
1993-05-12,4.4375,4.4375,4.421875,4.421875,1.2068206071853638,17600
1993-05-13,4.421875,4.421875,4.375,4.375,1.1940271854400635,24000
1993-05-14,4.375,4.390625,4.375,4.390625,1.1982914209365845,45600
1993-05-17,4.359375,4.359375,4.328125,4.328125,1.1812340021133423,16000
