Date,Open,High,Low,Close,Adj Close,Volume
2000-08-11,408.0,448.0,384.0,420.0,322.4442138671875,792528
2000-08-14,419.0,420.0,384.0,384.0,294.8060302734375,80228
2000-08-15,389.0,396.0,384.0,388.0,297.87701416015625,48422
2000-08-16,386.0,418.0,386.0,396.0,304.0186767578125,42166
2000-08-17,392.0,400.0,382.0,384.0,294.8060302734375,47247
2000-08-18,401.0,460.0,396.0,458.0,351.61773681640625,60400
2000-08-21,482.0,520.0,446.0,486.0,373.1139221191406,66547
2000-08-22,492.0,502.0,432.0,432.0,331.6568603515625,33878
2000-08-23,434.0,440.0,408.0,416.0,319.373291015625,17925
2000-08-24,414.0,418.0,386.0,386.0,296.34149169921875,18441
2000-08-25,402.0,414.0,388.0,412.0,316.3023986816406,20113
2000-08-28,429.0,433.5,400.0,420.0,322.4442138671875,19491
2000-08-29,430.0,432.0,404.0,428.0,328.58587646484375,22728
2000-08-30,427.0,470.0,424.0,454.0,348.54681396484375,19891
2000-08-31,482.0,528.0,476.0,518.0,397.6810607910156,87397
2000-09-01,516.0,520.0,480.0,504.0,386.9329528808594,27738
2000-09-05,506.0,520.0,496.0,498.0,382.32659912109375,23025
2000-09-06,516.0,520.0,488.0,496.0,380.79119873046875,20559
2000-09-07,512.0,512.0,428.0,460.0,353.153076171875,23959
2000-09-08,456.5,464.0,440.0,448.0,343.9404296875,15956
2000-09-11,442.0,448.0,432.0,444.0,340.8694152832031,34547
2000-09-12,435.0,442.0,412.0,416.0,319.373291015625,33853
2000-09-13,408.0,420.0,396.0,400.0,307.08966064453125,10363
2000-09-14,444.0,444.0,400.0,406.0,311.6960144042969,8109
2000-09-15,402.0,416.0,400.0,402.0,308.62518310546875,3600
2000-09-18,420.0,424.0,382.0,386.0,296.34149169921875,18659
2000-09-19,419.0,420.0,344.0,360.0,276.3807678222656,48038
2000-09-20,368.0,370.0,312.0,332.0,254.8843994140625,24103
2000-09-21,330.0,344.0,326.0,340.0,261.0262451171875,25247
2000-09-22,307.0,346.0,302.0,338.0,259.4907531738281,8456
2000-09-25,340.0,346.0,300.0,302.0,231.85264587402344,21066
2000-09-26,316.0,318.0,288.0,296.0,227.24632263183594,19634
2000-09-27,301.0,302.0,276.0,299.0,229.54949951171875,16756
2000-09-28,296.0,344.0,292.0,320.0,245.67164611816406,22041
2000-09-29,323.0,324.0,279.0,284.0,218.03366088867188,19125
2000-10-02,300.0,301.0,268.0,272.0,208.82095336914062,6888
2000-10-03,275.0,284.0,248.0,254.0,195.001953125,10128
